Country,First Name,Last Name,ID,Birth Date,Death Date,Place of Birth,Start Mandate,End Mandate,URL,First Paragraph
us,Thomas,Jefferson,Q11812,,1826-07-04,Shadwell,1801-03-04,1809-03-04,https://en.wikipedia.org/wiki/Thomas_Jefferson,"Thomas Jefferson (April 13, 1743 – July 4, 1826) was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the president of the United States from 1801 to 1809. He was the primary author of the Declaration of Independence. Following the American Revolutionary War and prior to becoming president in 1801, Jefferson was the nation's first U.S. secretary of state under George Washington and then the nation's second vice president under John Adams."
us,James,Madison,Q11813,1751-03-16,1836-06-28,Port Conway,1809-03-04,1817-03-04,https://en.wikipedia.org/wiki/James_Madison,"James Madison (March 16, 1751 – June 28, 1836) was an American statesman, diplomat, and Founding Father who served as the fourth president of the United States from 1809 to 1817. Madison was popularly acclaimed the ""Father of the Constitution"" for his pivotal role in drafting and promoting the Constitution of the United States and the Bill of Rights."
us,James,Monroe,Q11815,1758-04-28,1831-07-04,Monroe Hall,1817-03-04,1825-03-04,https://en.wikipedia.org/wiki/James_Monroe,"James Monroe ( April 28, 1758 – July 4, 1831) was an American statesman, lawyer, diplomat, and Founding Father who served as the fifth president of the United States from 1817 to 1825, a member of the Democratic-Republican Party. He was the last Founding Father to serve as president as well as the last president of the Virginia dynasty and the Republican Generation. His presidency coincided with the Era of Good Feelings, concluding the First Party System era of American politics. He issued the Monroe Doctrine, a policy of limiting European colonialism in the Americas. Monroe previously served as governor of Virginia, a member of the United States Senate, U.S. ambassador to France and Britain, the seventh secretary of state, and the eighth secretary of war."
us,John,Adams,Q11816,1767-07-11,1848-02-23,Braintree,1825-03-04,1829-03-04,https://en.wikipedia.org/wiki/John_Quincy_Adams,"John Quincy Adams ( July 11, 1767 – February 23, 1848) was an American statesman, politician, diplomat, lawyer, and diarist who served as the sixth president of the United States, from 1825 to 1829. He previously served as the eighth United States secretary of state from 1817 to 1825. During his long diplomatic and political career, Adams served as an ambassador and also as a member of the United States Congress representing Massachusetts in both chambers. He was the eldest son of John Adams, who served as the second president of the United States from 1797 to 1801, and First Lady Abigail Adams. Initially a Federalist like his father, he won election to the presidency as a member of the Democratic-Republican Party, and later, in the mid-1830s, became affiliated with the Whig Party."
us,Andrew,Jackson,Q11817,1767-03-15,1845-06-08,Waxhaws,1829-03-04,1837-03-04,https://en.wikipedia.org/wiki/Andrew_Jackson,"Andrew Jackson Jr  (March 15, 1767 – June 8, 1845) was an American lawyer, planter, general, and statesman who served as the seventh president of the United States from 1829 to 1837. Before his presidency, he gained fame as a general in the U.S. Army and served in both houses of the U.S. Congress. Often praised as an advocate for ordinary Americans and for his work in preserving the union of states, Jackson has also been criticized for his racial policies, particularly his treatment of Native Americans."
us,Martin,Van Buren,Q11820,1782-12-05,1862-07-24,Kinderhook,1837-03-04,1841-03-04,https://en.wikipedia.org/wiki/Martin_Van_Buren,"Martin Van Buren ( December 5, 1782 – July 24, 1862) was an American lawyer, diplomat, and statesman who served as the eighth president of the United States from 1837 to 1841. A primary founder of the Democratic Party, he served as New York's attorney general, U.S. senator, then briefly as the ninth governor of New York before joining Andrew Jackson's administration as the tenth United States secretary of state, minister to Great Britain, and ultimately the eighth vice president when named Jackson's running mate for the 1832 election. Van Buren won the presidency in 1836 against divided Whig opponents, the first president of non-Anglo-Saxon heritage and so far the only speaking English as a second language. Van Buren lost re-election in 1840, and failed to win the Democratic nomination in 1844. Later in his life, Van Buren emerged as an elder statesman and an important anti-slavery leader who led the Free Soil Party ticket in the 1848 presidential election."
us,William,Harrison,Q11869,1773-02-09,1841-04-04,Charles City County,1841-03-04,1841-04-04,https://en.wikipedia.org/wiki/William_Henry_Harrison,"William Henry Harrison (February 9, 1773 – April 4, 1841) was an American military officer and politician who served as the ninth president of the United States. Harrison died just 31 days after his inauguration as president in 1841, making his presidency the shortest in U.S. history. He was also the first U.S. president to die in office, causing a brief constitutional crisis since presidential succession was not then fully defined in the United States Constitution. Harrison was the last president born as a British subject in the Thirteen Colonies and was the paternal grandfather of Benjamin Harrison, the 23rd president of the United States."
us,John,Tyler,Q11881,1790-03-29,1862-01-18,Charles City County,1841-04-04,1845-03-04,https://en.wikipedia.org/wiki/John_Tyler,"John Tyler (March 29, 1790 – January 18, 1862) was an American politician who served as the tenth president of the United States from 1841 to 1845, after briefly holding office as the tenth vice president in 1841. He was elected vice president on the 1840 Whig ticket with President William Henry Harrison, succeeding to the presidency following Harrison's death 31 days after assuming office. Tyler was a stalwart supporter and advocate of states' rights, including regarding slavery, and he adopted nationalistic policies as president only when they did not infringe on the states' powers. His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clay and other Whig politicians and left Tyler estranged from both of the nation's major political parties at the time."
us,James,Polk,Q11891,1795-11-02,1849-06-15,Pineville,1845-03-04,1849-03-04,https://en.wikipedia.org/wiki/James_K._Polk,"James Knox Polk ( November 2, 1795 – June 15, 1849) was the 11th president of the United States, serving from 1845 to 1849. He also served as the 13th speaker of the House of Representatives from 1835 to 1839 and the ninth governor of Tennessee from 1839 to 1841. A protégé of Andrew Jackson, he was a member of the Democratic Party and an advocate of Jacksonian democracy. Polk is known for extending the territory of the United States through the Mexican–American War during his presidency, annexing the Republic of Texas, the Oregon Territory, and the Mexican Cession after winning the Mexican–American War."
us,Zachary,Taylor,Q11896,1784-11-24,1850-07-09,Barboursville,1849-03-04,1850-07-09,https://en.wikipedia.org/wiki/Zachary_Taylor,"Zachary Taylor (November 24, 1784 – July 9, 1850) was an American military leader who served as the 12th president of the United States from 1849 until his death in 1850. Taylor was a career officer in the United States Army, rising to the rank of major general and becoming a national hero for his victories in the Mexican–American War. As a result, he won election to the White House despite his vague political beliefs. His top priority as president was to preserve the Union. He died 16 months into his term from a stomach disease."
us,Millard,Fillmore,Q12306,1800-01-07,1874-03-08,Summerhill,1850-07-09,1853-03-04,https://en.wikipedia.org/wiki/Millard_Fillmore,"Millard Fillmore (January 7, 1800 – March 8, 1874) was the 13th president of the United States, serving from 1850 to 1853, the last to be a member of the Whig Party while in the White House.  A former member of the U.S. House of Representatives from upstate New York, Fillmore was elected as the 12th vice president in 1848, and succeeded to the presidency in July 1850 upon the death of Zachary Taylor. Fillmore was instrumental in passing the Compromise of 1850, a bargain that led to a brief truce in the battle over the expansion of slavery. He failed to win the Whig nomination for president in 1852 but gained the endorsement of the nativist Know Nothing Party four years later and finished third in the 1856 presidential election."
us,Franklin,Pierce,Q12312,1804-11-23,1869-10-08,Hillsborough,1853-03-04,1857-03-04,https://en.wikipedia.org/wiki/Franklin_Pierce,"Franklin Pierce (November 23, 1804 – October 8, 1869) was an American politician who served as the 14th president of the United States from 1853 to 1857. A northern Democrat who believed that the abolitionist movement was a fundamental threat to the nation's unity, he alienated anti-slavery groups by signing the Kansas–Nebraska Act and enforcing the Fugitive Slave Act. Conflict between North and South continued after Pierce's presidency, and, after Abraham Lincoln was elected president in 1860, the Southern states seceded, resulting in the American Civil War."
us,James,Buchanan,Q12325,1791-04-23,1868-06-01,Stony Batter,1857-03-04,1861-03-04,https://en.wikipedia.org/wiki/James_Buchanan,"James Buchanan Jr. ( April 23, 1791 – June 1, 1868) was an American lawyer, diplomat, and politician who served as the 15th president of the United States from 1857 to 1861. He previously served as secretary of state from 1845 to 1849 and represented Pennsylvania in both houses of the U.S. Congress. He was an advocate for states' rights, particularly regarding slavery, and minimized the role of the federal government preceding the Civil War. Historians and scholars rank Buchanan as among the worst presidents in American history.  Buchanan was the last president to have been born in the eighteenth century. "
us,Donald,Trump,Q22686,1946-06-14,,Jamaica Hospital Medical Center,2017-01-20,2021-01-20,https://en.wikipedia.org/wiki/Donald_Trump,"Donald John Trump (born June 14, 1946) is an American politician, media personality, and businessman who served as the 45th president of the United States from 2017 to 2021. "
us,George,Bush,Q23505,1924-06-12,2018-11-30,Milton,1989-01-20,1993-01-20,https://en.wikipedia.org/wiki/George_H._W._Bush,"George Herbert Walker Bush (June 12, 1924 – November 30, 2018) was an American politician, diplomat, and businessman who served as the 41st president of the United States from 1989 to 1993. A member of the Republican Party, he also served as the 43rd vice president from 1981 to 1989 under Ronald Reagan, and in various other federal positions prior to that."
us,Jimmy,Carter,Q23685,1924-10-01,,Lillian G. Carter Nursing Center,1977-01-20,1981-01-20,https://en.wikipedia.org/wiki/Jimmy_Carter,"James Earl Carter Jr. (born October 1, 1924) is an American politician and humanitarian who served as the 39th president of the United States from 1977 to 1981. A member of the Democratic Party, Carter was the 76th governor of Georgia from 1971 to 1975, and a Georgia state senator from 1963 to 1967. At age 99, he is both the oldest living former U.S. president and the longest-lived president in U.S. history. "
us,Theodore,Roosevelt,Q33866,1858-10-27,1919-01-06,Manhattan,1901-09-14,1909-03-04,https://en.wikipedia.org/wiki/Theodore_Roosevelt,"Theodore  Roosevelt Jr. (October 27, 1858 – January 6, 1919), often referred to as Teddy or by his initials, T. R., was an American politician, statesman, conservationist, naturalist, and writer who served as the 26th president of the United States from 1901 to 1909. He previously held various positions in New York politics, rising up the ranks to serve as the state's 33rd governor for two years. He later served as the 25th vice president under president William McKinley for six months in 1901, assuming the presidency after McKinley's assassination. As president, Roosevelt emerged as a leader of the Republican Party and became a driving force for anti-trust and Progressive policies."
us,Woodrow,Wilson,Q34296,1856-12-28,1924-02-03,Staunton,1913-03-04,1921-03-04,https://en.wikipedia.org/wiki/Woodrow_Wilson,"Thomas Woodrow Wilson (December 28, 1856 – February 3, 1924) was an American politician and academic who served as the 28th president of the United States from 1913 to 1921. A member of the Democratic Party, Wilson served as the president of Princeton University and as the governor of New Jersey before winning the 1912 presidential election. As president, Wilson changed the nation's economic policies and led the United States into World War I in 1917. He was the leading architect of the League of Nations, and his progressive stance on foreign policy came to be known as Wilsonianism."
us,James,Garfield,Q34597,1831-11-19,1881-09-19,Moreland Hills,1881-03-04,1881-09-19,https://en.wikipedia.org/wiki/James_A._Garfield,"James Abram Garfield (November 19, 1831 – September 19, 1881) was the 20th president of the United States, serving from March 1881 until his death the following September after being shot by an assassin in July. A lawyer and Civil War general, Garfield served nine terms in the United States House of Representatives and is the only sitting member of the House to be elected president. Before his candidacy for the presidency, he had been elected to the U.S. Senate by the Ohio General Assembly—a position he declined when he became president-elect."
us,Ulysses,Grant,Q34836,1822-04-27,1885-07-23,Point Pleasant,1869-03-04,1877-03-04,https://en.wikipedia.org/wiki/Ulysses_S._Grant,"Ulysses S. Grant (born Hiram Ulysses Grant; April 27, 1822 – July 23, 1885) was an American military officer and politician who served as the 18th president of the United States from 1869 to 1877. As commanding general, he led the Union Army to victory in the American Civil War in 1865 and thereafter briefly served as U.S. secretary of war. As president, Grant was an effective civil rights executive who signed the bill that created the Justice Department and worked with Radical Republicans to protect African Americans during Reconstruction."
us,William,McKinley,Q35041,1843-01-29,1901-09-14,Niles,1897-03-04,1901-09-14,https://en.wikipedia.org/wiki/William_McKinley,"William McKinley (January 29, 1843 – September 14, 1901) was an American politician who served as the 25th president of the United States from 1897 until his assassination in 1901. A member of the Republican Party, he led a realignment that made Republicans largely dominant in the industrial states and nationwide for decades. He presided over victory in the Spanish–American War of 1898; gained control of Hawaii, Puerto Rico, the Philippines and Cuba; restored prosperity after a deep depression; rejected the inflationary monetary policy of free silver, keeping the nation on the gold standard; and raised protective tariffs."
us,Stephen,Cleveland,Q35171,1837-03-18,1908-06-24,Caldwell,1893-03-04,1897-03-04,https://en.wikipedia.org/wiki/Grover_Cleveland,"Stephen Grover Cleveland (March 18, 1837 – June 24, 1908) was an American politician who served as the 22nd and 24th president of the United States from 1885 to 1889 and from 1893 to 1897. In the years before his presidency, he served as a mayor and governor of New York state, winning fame as an anti-corruption crusader. Cleveland was the first Democrat to win the presidency after the Civil war, and was one of two Democrat presidents, followed by Woodrow Wilson in 1912, in an era when Republicans dominated the presidency between 1861 and 1933. He is the only president in U.S. history to serve non-consecutive presidential terms. He won the popular vote in three presidential elections—1884, 1888, and 1892. Benjamin Harrison won the electoral college vote, and thus the presidency, in 1888."
us,Herbert,Hoover,Q35236,1874-08-10,1964-10-20,West Branch,1929-03-04,1933-03-04,https://en.wikipedia.org/wiki/Herbert_Hoover,"Herbert Clark Hoover (August 10, 1874 – October 20, 1964) was an American politician who served as the 31st president of the United States from 1929 to 1933. A member of the Republican Party, he held office during the onset of the Great Depression. A wealthy mining engineer before his presidency, Hoover led the wartime Commission for Relief in Belgium, served as the director of the U.S. Food Administration, and served as the U.S. secretary of commerce."
us,Warren,Harding,Q35286,1865-11-02,1923-08-02,Blooming Grove,1921-03-04,1923-08-02,https://en.wikipedia.org/wiki/Warren_G._Harding,"Warren Gamaliel Harding (November 2, 1865 – August 2, 1923) was an American politician who served as the 29th president of the United States from 1921 until his death in 1923. A member of the Republican Party, he was one of the most popular sitting U.S. presidents. After his death, a number of scandals were exposed, including Teapot Dome, as well as an extramarital affair with Nan Britton, which tarnished his reputation."
us,Chester,Arthur,Q35498,1829-10-05,1886-11-18,Fairfield,1881-09-19,1885-03-04,https://en.wikipedia.org/wiki/Chester_A._Arthur,"Chester Alan Arthur (October 5, 1829 – November 18, 1886) was an American politician who served as the 21st president of the United States from 1881 to 1885. He was a Republican lawyer from New York who briefly served as the 20th vice president under President James A. Garfield. Arthur assumed the presidency after Garfield's death on September 19, 1881, and served the remainder of his term until March 4, 1885."
us,William,Taft,Q35648,1857-09-15,1930-03-08,Cincinnati,1909-03-04,1913-03-04,https://en.wikipedia.org/wiki/William_Howard_Taft,"William Howard Taft (September 15, 1857 – March 8, 1930) was the 27th president of the United States, serving from 1909 to 1913, and the tenth chief justice of the United States, serving from 1921 to 1930, the only person to have held both offices. Taft was elected president in 1908, the chosen successor of Theodore Roosevelt, but was defeated for reelection in 1912 by Woodrow Wilson after Roosevelt split the Republican vote by running as a third-party candidate. In 1921, President Warren G. Harding appointed Taft to be chief justice, a position he held until a month before his death."
us,Benjamin,Harrison,Q35678,1833-08-20,1901-03-13,North Bend,1889-03-04,1893-03-04,https://en.wikipedia.org/wiki/Benjamin_Harrison,"Benjamin Harrison (August 20, 1833 – March 13, 1901) was an American politician who served as the 23rd president of the United States from 1889 to 1893. He was a member of the Harrison family of Virginia—a grandson of the ninth president, William Henry Harrison, and a great-grandson of Benjamin Harrison V, a Founding Father."
us,Rutherford,Hayes,Q35686,1822-10-04,1893-01-17,Delaware,1877-03-04,1881-03-04,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,"Rutherford Birchard Hayes ( October 4, 1822 – January 17, 1893) was an American military officer and politician who served as the 19th president of the United States from 1877 to 1881. During the American Civil War, Hayes served in the Union Army and earned a reputation for bravery in combat, rising up the ranks to serve as brevet major general. After the war, he served in the House of Representatives and as Governor of Ohio before assuming the presidency after his disputed victory in the 1876 presidential election."
us,John,Coolidge,Q36023,1872-07-04,1933-01-05,Plymouth Notch,1923-08-02,1929-03-04,https://en.wikipedia.org/wiki/Calvin_Coolidge,"Calvin Coolidge (born John Calvin Coolidge Jr.;  July 4, 1872 – January 5, 1933) was an American attorney and politician who served as the 30th president of the United States from 1923 to 1929."
fr,François,Hollande,Q157,1954-08-12,,Rouen,2012-05-15,2017-05-14,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Hollande,"François Hollande , né le 12 août 1954 à Rouen (Seine-Inférieure), est un haut fonctionnaire et homme d'État français. Il est président de la République française du 15 mai 2012 au 14 mai 2017."
fr,Nicolas,Sarkozy,Q329,1955-01-28,,Paris,2007-05-16,2012-05-15,https://fr.wikipedia.org/wiki/Nicolas_Sarkozy,"Nicolas Sarközy de Nagy-Bocsa, dit Nicolas Sarkozy , né le 28 janvier 1955 à Paris (France), est un homme d'État français. Il est président de la République française du 16 mai 2007 au 15 mai 2012."
fr,François,Mitterrand,Q2038,1916-10-26,1996-01-08,Jarnac,1981-05-21,1995-05-17,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand,"François Mitterrand , né le 26 octobre 1916 à Jarnac (Charente) et mort le 8 janvier 1996 à Paris, est un homme d'État français, président de la République du 21 mai 1981 au 17 mai 1995."
fr,Charles,de Gaulle,Q2042,1890-11-22,1970-11-09,Lille,1959-01-08,1969-04-28,https://fr.wikipedia.org/wiki/Charles_de_Gaulle,"Charles de Gaulle , communément appelé le général de Gaulle ou parfois simplement le Général, né le 22 novembre 1890 à Lille (Nord) et mort le 9 novembre 1970 à Colombey-les-Deux-Églises (Haute-Marne), est un militaire, résistant, homme d'État et écrivain français."
fr,Jacques,Chirac,Q2105,1932-11-29,2019-09-26,5th arrondissement of Paris,1995-05-17,2007-05-16,https://fr.wikipedia.org/wiki/Jacques_Chirac,"Jacques Chirac , né le 29 novembre 1932 dans le 5e arrondissement de Paris et mort le 26 septembre 2019 dans le 6e arrondissement de la même ville, est un haut fonctionnaire et homme d'État français. Il est Premier ministre de 1974 à 1976, puis de 1986 à 1988, et président de la République de 1995 à 2007."
fr,Valéry,Giscard d'Estaing,Q2124,1926-02-02,2020-12-02,Koblenz,1974-05-27,1981-05-21,https://fr.wikipedia.org/wiki/Val%C3%A9ry_Giscard_d%27Estaing,"Valéry Giscard d'Estaing — communément appelé « Giscard » ou désigné par ses initiales, « VGE » —, né le 2 février 1926 à Coblence (Allemagne) et mort le 2 décembre 2020 à Authon (France), est un homme d'État français, président de la République de 1974 à 1981."
fr,Georges,Pompidou,Q2185,1911-07-05,1974-04-02,Montboudif,1969-06-20,1974-04-02,https://fr.wikipedia.org/wiki/Georges_Pompidou,"Georges Pompidou , né le 5 juillet 1911 à Montboudif (Cantal) et mort le 2 avril 1974 à Paris, est un haut fonctionnaire et homme d'État français. Il est Premier ministre du 14 avril 1962 au 10 juillet 1968 et président de la République du 20 juin 1969 à sa mort."
fr,Adolphe,Thiers,Q5738,1797-04-15,1877-09-03,Marseille,1871-08-31,1873-05-24,https://fr.wikipedia.org/wiki/Adolphe_Thiers,"Adolphe Thiers, né le 15 avril 1797 (26 germinal an V) à Marseille et mort le 3 septembre 1877 à Saint-Germain-en-Laye, est un avocat, journaliste, historien et homme d'État français."
fr,Napoléon,Bonaparte,Q7721,1808-04-20,1873-01-09,Paris,1848-12-20,1852-12-02,https://fr.wikipedia.org/wiki/Napol%C3%A9on_III,"Charles Louis Napoléon Bonaparte, dit Louis-Napoléon Bonaparte, né le 20 avril 1808 à Paris et mort le 9 janvier 1873 à Chislehurst (Royaume-Uni), est un monarque et un homme d'État français. Il est à la fois l'unique président de la Deuxième République, le premier chef d'État français élu au suffrage universel masculin, le 10 décembre 1848, le premier président de la République française, et, après la proclamation de l'Empire le 2 décembre 1852, le dernier monarque du pays sous le nom de Napoléon III, empereur des Français."
fr,Paul,Doumer,Q12680,1857-03-22,1932-05-07,Aurillac,1931-06-13,1932-05-07,https://fr.wikipedia.org/wiki/Paul_Doumer,"Joseph Athanase Doumer, dit Paul Doumer, né le 22 mars 1857 à Aurillac (Cantal) et  assassiné le 7 mai 1932 à Paris, est un homme d'État français. Il est président de la République du 13 juin 1931 à sa mort."
fr,Alain,Poher,Q12950,1909-04-17,1996-12-09,Ablon-sur-Seine,1969-04-28,1969-06-20,https://fr.wikipedia.org/wiki/Alain_Poher,"Alain Poher, né le 17 avril 1909 à Ablon-sur-Seine (Seine-et-Oise) et mort le 9 décembre 1996 à Paris 16e, est un homme d'État français."
fr,Albert,Lebrun,Q158749,1871-08-29,1950-03-06,Mercy-le-Haut,1932-05-10,1940-07-11,https://fr.wikipedia.org/wiki/Albert_Lebrun,"Albert Lebrun, né le 29 août 1871 à Mercy-le-Haut (alors en Moselle restée française après le traité de Francfort) et mort le 6 mars 1950 à Paris (alors dans le département de la Seine), est un homme d'État français. Il est président de la République française du 10 mai 1932 au 11 juillet 1940 (le dernier de la IIIe République)."
